country_code,country,year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,tuberculosis,hiv,infant_mortality,physicians,gdp_capita,gdp_growth_capita,educ_exp_capita,health_exp_capita,health_expend_category
SWE,Sweden,2005,9029572,0.4,17.4,17.31,389489,2.8,7.7,6.6,8.3,82.8,78.4,6.9,0.13,3.2,3.355,43134.8241090497,1207.77507505339,2846.89839119728,3580.19040105112,very high
SWE,Sweden,2010,9378126,0.85,16.51,18.22,488909,6,8.6,6.6,8.5,83.5,79.5,7.5,0.159,2.6,3.9,52132.9101357777,3127.97460814666,3440.77206896133,4431.2973615411,very high
SWE,Sweden,2019,10175214,1.16,17.58,20.1,535607,2.1,6.3,7.6,10.9,84.1,81,5.5,0.137,2.4,5.4,52638.401511752,1105.40643174679,4000.51851489315,5737.58576478097,very high
SGP,Singapore,2005,4265762,2.35,17.23,7.17,127418,7.5,5.6,3.2,3,82.5,77.6,37,0.2,2.5,1.5,29869.9271079821,2240.24453309866,955.837667455428,896.097813239463,high
SGP,Singapore,2010,5076732,1.77,13.99,7.26,236420,15.2,3.2,3.1,3.2,84,79.2,35,0.3,2.2,1.7,46569.3284577559,7078.5379255789,1443.64918219043,1490.21851064819,very high
SGP,Singapore,2019,5638676,0.47,12.28,11.46,323901,3.6,1.7,2.9,4.5,85.4,81,47,0.2,2.1,2.3,57442.7401042372,2067.93864375254,1665.83946302288,2584.92330469068,very high
SVN,Slovenia,2005,2000474,0.17,13.97,15.5,36345,4,6.5,5.6,8,81.3,74.1,16,0.1,4,2.946,18168.1941379893,726.727765519572,1017.4188717274,1453.45553103914,very high
SVN,Slovenia,2010,2048583,0.44,13.99,16.69,48014,1.2,7.2,5.6,8.6,82.7,76.3,9.5,0.1,3.2,2.4,23437.6639853011,281.251967823613,1312.50918317686,2015.63910273589,very high
SVN,Slovenia,2019,2073894,0.36,15.02,19.61,48456,4.9,6,4.9,8.5,84,78.2,5.3,0.1,2.2,3,23364.7428460664,1144.87239945725,1144.87239945725,1986.00314191564,very high
SVK,Slovakia,2005,5372807,0.01,16.82,11.64,48965,6.8,16.3,3.8,6.6,77.9,70.1,15,0.1,7.3,2.927,9113.48574404404,619.717030594995,346.312458273673,601.490059106906,high
SVK,Slovakia,2010,5391428,0.09,15.34,12.45,89501,5,14.4,4.1,7.8,78.8,71.6,8.7,0.1,6.2,3.3,16600.6111924336,830.030559621681,680.625058889778,1294.84767300982,very high
SVK,Slovakia,2019,5446771,0.14,15.45,15.63,95618,3.2,7,4.6,7.1,80.7,73.8,5.8,0.1,5.4,2.5,17554.9880837656,561.759618680499,807.529451853217,1246.40415394736,very high
SLE,Sierra Leone,2005,5645624,3.82,43.74,3.15,1650,4.5,3.6,2.8,11,45.25,43.73,316,1.5,141.9,0,292.261758841892,13.1517791478852,8.18332924757299,32.1487934726082,very low
SLE,Sierra Leone,2010,6415634,2.25,43.04,3.06,2578,5.3,4.3,2.6,10.9,50.23,48.5,317,1.5,122.1,0,401.830902448612,21.2970378297764,10.4476034636639,43.7995683668987,very low
SLE,Sierra Leone,2019,7650154,2.14,41.06,2.97,3740,3.8,4.2,4.6,16.5,55.11,53.47,298,1.5,97.1,0,488.879047402183,18.577403801283,22.4884361805004,80.6650428213602,low
SEN,Senegal,2005,11090116,2.56,43.74,3.22,11267,5.6,9,5.1,4.6,62.09,59.08,141,0.7,61.1,0.1,1015.94969791119,56.8931830830264,51.8134345934704,46.7336861039145,very low
SEN,Senegal,2010,12678148,2.74,43.51,3.16,16725,4.2,10.2,6.5,4.9,65.83,62.62,132,0.6,47.5,0.1,1319.19898710758,55.4063574585184,85.7479341619927,64.6407503682715,low
SEN,Senegal,2019,15854360,2.78,43.06,3.09,21126,6.7,4.8,6.2,5.6,69.63,65.5,118,0.4,38.3,0.1,1332.50411874084,89.2777759556362,82.615255361932,74.6202306494869,low
SOM,Somalia,2005,10446863,3.08,47.89,2.64,2316,3,5.9,3.121,6.596,53.96,50.83,285,0.4,97,0.0159999999999999,221.693344691129,6.65080034073386,6.91904928781013,14.6228930158269,very low
SOM,Somalia,2010,12043883,2.75,48.17,2.69,1093,2.6,6,3.222,6.875,55.62,52.44,286,0.3,89.8,0,90.7514627965084,2.35953803270922,2.9240121313035,6.23916306725995,very low
SOM,Somalia,2019,15008154,2.83,46.58,2.87,1535,1.8,5.9,3.308,6.211,58.79,55.41,262,0.1,79.4,0,102.277735156502,1.84099923281704,3.38334747897709,6.35247013057036,very low
